movie_id,movie_name,year,genre,overview,director,cast
tt27918452,Swayambhu,,"adventure, drama, fantasy",follows the story of an emperor who established a golden age in history.,"Aadhitya Bahudhanam, Bharat Krishnamachari","Samyuktha Menon, Nikhil Siddharth"
tt0118654,Aunty No. 1,1998,"action, comedy, drama","sandhya (raveena tandon) has always dreamt of meeting her prince charming, a wealthy man, handsome, debonair, and dashing. she meets with gopi (govinda), who likes her instantly, and ... see full summary »",Kirti Kumar,"Govinda, Raveena Tandon, Harish, Rohit Kumar Sharma"
tt0409527,Shabd,2005,"drama, thriller","when a novelist seeks inspiration by urging his wife to have an affair, the line between his story and reality is blurred.",Leena Yadav,"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan, Aakash Pandey"
tt0064241,Do Raaste,1969,"drama, romance","navendu toils hard to support his joint family and keep it together. however, their familial bond gets threatened when his younger brother marries a woman who insists on living separately.",Raj Khosla,"Rajesh Khanna, Mumtaz Askari, Balraj Sahni, Prem Chopra"
tt0232079,Mela,2000,"action, adventure, comedy","when a village belle's brother is killed by a bandit, she vows revenge and enlists the help of two truckers-come-theatre artists in her mission.",Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan, Johny Lever"
tt4020624,Lingaa,2014,"action, comedy, drama",a small-time thief reforms after learning about the role played by his grandfather in building a dam.,K.S. Ravikumar,"Rajinikanth, Anushka Shetty, Sonakshi Sinha, Jagapathi Babu"
tt0397742,Yeh Vaada Raha,1982,"romance, musical, drama",sunita is a radio singer while on vacation in kashmir vikram deeply falls in love with and proposes her which she eventually accepts.vikram introduces sunita to her mother sharda rai ... see full summary »,Kapil Kapoor,"Rishi Kapoor, Tina Ambani, Poonam Dhillon, Rakhee Gulzar"
tt1263679,Firaaq,2008,"drama, history, thriller",chronicles the devastating impact on vulnerable muslims in gujarat after riots.,Nandita Das,"Inaamulhaq, Nassar, Shahana Goswami, Nawazuddin Siddiqui"
tt0284083,Ek Rishtaa: The Bond Of Love,2001,drama,"vijay kapoor, a wealthy businessman and his family are deceived by rajesh, vijay kapoor's employee and son in law. a struggle begins by both father-son duos to regain their business and position.",Suneel Darshan,"Amitabh Bachchan, Rakhee Gulzar, Akshay Kumar, Karisma Kapoor"
tt0449159,15 Park Avenue,2005,drama,"an exploration of the impact of schizophrenia on a young woman and her family in today's calcutta. the narrative pivots around the relationship of two sisters, older sister anjali is a ... see full summary »",Aparna Sen,"Shabana Azmi, Konkona Sen Sharma, Rahul Bose, Dhritiman Chatterjee"
tt0237022,Balika Badhu,1976,"comedy, drama, romance","set against the backdrop of a quaint village in british-ruled india, this exquisitely crafted social drama revolves around teenage couple amal and rajni. their marriage is conducted with ... see full summary »",Tarun Majumdar,"Sachin Pilgaonkar, Rajni Sharma, Govardhan Asrani, A.K. Hangal"
tt1027800,Angoor,2005,drama,"a girl with mental problems gets break in c grade movie and try to woo the producer to increase her payment. in between, it turn out that producer is homosexual, and likes the male lead of ... see full summary »",Kanti Shah,"Sapna Sappu, Rajesh Sabharwal, Amit Pachori, Anil Nagrath"
tt0267289,Baap Beti,1954,drama,add a plot,Bimal Roy,"Sunalini Devi, Dolly, Tabassum Govil, Nasir Hussain"
tt0106986,Gardish,1993,"action, crime, drama",a soon-to-be police officer takes a path of crime after his father gets attacked by hoodlums.,Priyadarshan,"Jackie Shroff, Amrish Puri, Dimple Kapadia, Farida Jalal"
tt3380264,Kill Dil,2014,"action, comedy, drama","abandoned when young, bhaiyaji gives shelter to dev and tutu. a game of defiance, deception and love follows when free-spirited disha enters their life.",Shaad Ali,"Ranveer Singh, Ali Zafar, Parineeti Chopra, Govinda"
tt0149573,Aashiqui,1990,"musical, drama, romance","rahul and anu fall in love with each other, but before they unite, they have their own problems to deal with.",Mahesh Bhatt,"Rahul Roy, Anu Agarwal, Avtar Gill, Tom Alter"
tt0100816,Tridev,1989,"action, crime, drama","when an exiled police officer, a bandit and the son of a police commissioner are framed by a smuggler, they join forces to teach him a lesson and prove their innocence.",Rajiv Rai,"Sunny Deol, Naseeruddin Shah, Jackie Shroff, Madhuri Dixit"
tt7972000,Junko,2017,crime,add a plot,Abhinav Thakur,"Neelam Deysarkar, Aayush Thakur, Aarav Mavi, Aashif Eqbal"
tt0121989,Baazi,1995,"action, thriller, crime",a tough and honest police officer wages a one-man war against terrorists and a corrupt politician who have planned to assassinate the chief minister of the state.,Ashutosh Gowariker,"Aamir Khan, Mamta Kulkarni, Paresh Rawal, Avtar Gill"
tt2912578,Ankur Arora Murder Case,2013,"drama, thriller","a highly reputed doctor makes a small mistake, which costs the life of a kid ankur arora. will he succeed in hiding his mistake or will the mother of the kid get justice.",Sohail Tatari,"Kay Kay Menon, Visshesh Tiwari, Tisca Chopra, Arjun Mathur"
tt0071205,Benaam,1974,"drama, mystery, thriller","after helping a stabbing victim to the hospital, a man begins to receive anonymous threats. the only way to save his wife and child is to unravel the mystery of the killer's identity.",Narendra Bedi,"Amitabh Bachchan, Moushumi Chatterjee, Satyendra Kapoor, Madan Puri"
tt0216067,Parichay,1972,"drama, family, musical","in desperate need of a job, unemployed ravi (jeetendra) goes to his maternal uncle (a.k. hangal) and aunt (leela mishra) in their village for a few days. his uncle decides that he can be a ... see full summary »",Gulzar,"Jeetendra, Jaya Bachchan, Pran Sikand, A.K. Hangal"
tt0220594,Kartoos,1999,"action, thriller",a cop trains a criminal raja to end the reign of a deadly underworld don. but the mission falters when raja falls in love and puts everyone's life and the mission at risk.,Mahesh Bhatt,"Sanjay Dutt, Jackie Shroff, Manisha Koirala, Gulshan Grover"
tt0121395,Imtihaan,1994,"action, drama, romance",a woman's tragic past threatens to break up her marriage.,Harry Baweja,"Sunny Deol, Saif Ali Khan, Raveena Tandon, Govardhan Asrani"
tt8472964,Chintu Ka Birthday,2020,"comedy, drama, war","during us invasion of iraq some illegal migrants are waiting to get back home to india. as one such family prepares to celebrate the 6th birthday of their youngest member chintu, their kind-hearted iraqi landlord lends them a helping hand.","Devanshu Singh, Satyanshu Singh","Vinay Pathak, Tillotama Shome, Seema Pahwa, Khaled Masso"
tt8396186,Amavas,2019,"horror, thriller","the lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.",Bhushan Patel,"Ali Asgar, Ali Asgar, Vivan Bhatena, Sabina Chema"
tt1667823,Bhindi Baazaar,2011,"crime, drama, thriller",power struggles ensue in a gang after the sudden death of their leader.,Ankush Bhatt,"Kay Kay Menon, Prashant Narayanan, Pawan Malhotra, Adil Feroz Khan"
tt0071145,Ankur,1974,drama,"belonging to a lower caste, lakshmi and her deaf-mute husband kishtayya serve the landlord's son, surya. when surya's young wife finds out about his affair with lakshmi, they all find themselves at crossroads.",Shyam Benegal,"Shabana Azmi, Sadhu Meher, Anant Nag, Priya Tendulkar"
tt0214841,Karz,1980,"action, musical, romance",ravi is killed by his wife after his marriage. he is reborn as monty and is now a singer he goes to holiday in ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wife kamini.,Subhash Ghai,"Rishi Kapoor, Tina Ambani, Simi Garewal, Raj Kiran"
tt0079584,Mr. Natwarlal,1979,"action, comedy, romance","natwar is just a young boy when his beloved older brother and caretaker, police officer gridharilal (ajit), is framed for bribery by sinister criminal mastermind vikram (amjad khan). when ... see full summary »",Rakesh Kumar,"Amitabh Bachchan, Rekha, Ajit Khan, Kader Khan"
tt6689882,Rangeela Raja,2019,comedy,a strong career woman changes the life of a business tycoon and upsets his family. his brother attempts to set everything back to normal. will he succeed?,Sikander Bharti,"Govinda, Mishika Chourasia, Karan Aanand, Anupama Agnihotri"
tt0350195,Teri Meherbaniyan,1985,"action, crime, drama","ram is a govt official who tries to brings justice to an oppressed village. he almost succeed in his mission but is murdered by vijay singh. his dream of justice is filled by his most loyal dog, moti.",Vijay Reddy,"Jackie Shroff, Poonam Dhillon, Raj Kiran, Swapna"
